age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
71,4,77253,3,4,11,1,4,1,0,0,17,33,0
17,4,329783,0,4,4,2,4,0,0,0,10,33,0
27,4,91257,3,2,13,0,4,1,0,0,40,40,0
43,4,125577,3,5,1,4,2,0,0,0,40,33,0
31,4,137978,15,2,9,0,4,1,0,0,40,33,0
20,4,147344,7,4,11,3,4,1,0,0,20,33,0
20,0,201766,7,4,0,3,4,0,0,0,35,33,0
50,4,185846,3,2,4,0,4,1,0,0,40,33,0
44,1,192771,3,4,1,4,4,0,0,0,40,33,0
18,4,201901,3,4,11,3,4,0,0,1719,15,33,0
23,4,238092,15,4,2,3,4,1,0,0,40,33,0
48,4,369522,7,0,9,1,4,0,0,0,60,33,0
29,4,413297,13,4,4,1,4,1,0,0,45,19,0
45,2,166181,3,0,13,3,2,0,0,0,40,33,0
34,4,213307,3,4,11,4,4,0,7443,0,35,33,0
45,4,148549,7,0,8,1,4,1,27828,0,56,33,1
25,7,143062,3,4,1,3,4,0,0,0,40,33,0
18,4,328937,11,4,13,3,2,1,0,0,20,33,0
22,4,399087,10,2,12,2,4,0,0,0,40,19,0
31,4,147284,2,2,2,0,4,1,0,1977,99,33,1
47,4,155124,14,0,2,1,4,0,0,1669,40,33,0
51,4,229259,15,2,9,0,4,1,0,0,45,33,1
34,7,355700,3,5,1,4,4,0,0,0,20,33,0
20,4,34706,7,4,9,1,2,1,0,0,47,33,0
47,4,246739,15,2,9,0,4,1,99999,0,55,33,1
26,4,98114,3,0,9,3,4,0,0,0,40,33,0
27,4,188171,0,4,1,3,4,1,0,0,60,33,0
36,4,96452,15,2,2,0,4,1,0,0,45,33,0
58,6,95763,7,2,10,0,4,1,0,0,60,33,0
37,4,230035,3,2,8,0,4,1,0,0,46,33,1
17,4,163836,0,4,4,3,4,0,0,0,12,33,0
55,4,194436,12,2,12,5,4,0,0,0,40,33,0
38,4,218015,7,2,8,0,4,1,0,0,48,33,1
32,4,280077,3,0,9,1,4,1,0,0,60,33,0
25,2,203408,7,2,13,0,4,1,0,0,40,33,0
37,4,329980,4,2,9,0,4,1,0,2415,60,33,1
29,4,250819,7,4,1,1,4,0,0,0,40,33,0
29,4,32897,3,0,13,1,4,0,0,0,25,33,0
35,4,242094,3,2,13,2,2,1,0,0,40,33,0
29,2,179681,3,4,6,3,4,0,0,0,37,33,0
68,4,121846,11,6,13,4,0,0,0,0,20,33,0
47,6,265097,3,2,6,0,4,1,0,0,45,33,1
69,0,171050,3,6,0,1,4,0,0,0,9,33,0
34,2,51543,7,4,13,1,4,1,0,0,48,33,0
30,4,169583,15,1,9,5,4,0,0,0,40,33,1
78,5,188044,15,2,9,0,4,1,0,2392,40,33,1
41,4,373403,15,2,2,0,4,1,0,0,40,33,1
29,0,153167,7,4,0,3,2,0,0,0,40,33,0
32,7,131588,7,4,5,4,2,0,0,0,20,33,0
32,4,52537,7,4,5,1,2,1,0,0,38,33,0
39,4,560313,4,2,2,0,2,1,0,0,45,33,1
59,0,291856,3,2,0,0,4,1,0,0,40,33,0
21,4,241367,7,4,1,3,4,1,0,0,10,33,0
25,4,404616,15,2,9,0,4,1,0,0,40,33,1
32,4,216361,7,2,3,0,2,1,0,0,16,33,0
30,0,355571,3,4,0,4,2,0,0,0,40,33,0
51,2,152754,15,2,1,0,4,1,0,0,40,33,1
38,4,33001,15,2,9,0,4,1,0,0,55,33,1
56,0,188166,3,2,0,0,4,1,0,0,40,33,0
42,4,318947,3,0,12,1,4,0,0,0,40,33,0
39,4,167140,4,2,9,0,4,1,0,0,40,33,0
24,4,119629,7,4,4,1,4,0,0,0,37,33,0
52,4,159670,13,2,9,0,4,1,0,0,40,33,0
35,5,152307,3,2,8,0,4,1,0,1485,40,33,0
54,6,392286,13,2,4,0,4,1,0,0,50,33,1
31,6,186420,4,5,5,1,4,0,0,0,25,33,0
44,4,317320,7,0,13,4,4,0,0,0,40,33,0
55,4,359972,15,2,9,0,4,1,0,1887,40,33,1
24,4,266971,15,4,4,1,4,0,0,0,40,33,0
34,4,154874,14,2,4,0,4,1,0,0,40,33,0
35,4,56201,7,2,10,0,4,1,0,0,40,19,0
20,4,238917,1,4,11,1,4,1,0,0,32,19,0
58,4,100960,12,2,11,0,4,1,0,0,40,33,0
52,4,197322,7,2,8,0,4,1,0,0,40,33,0
35,4,187625,7,4,13,1,4,0,0,0,65,33,0
44,4,79864,4,5,9,4,4,0,0,0,20,33,0
27,4,150296,3,4,13,3,4,0,0,0,32,33,0
34,4,305619,3,2,8,0,4,1,0,0,40,33,1
76,0,152802,7,2,0,0,4,1,0,0,8,33,0
52,4,190333,7,2,1,0,4,1,0,0,40,33,1
39,4,196673,3,2,13,5,4,0,5013,0,40,33,0
34,4,181152,3,2,1,5,2,0,0,0,35,33,0
56,4,175127,0,2,11,0,4,1,0,0,40,33,0
53,7,281590,3,2,9,5,4,0,15024,0,40,33,1
20,4,163870,3,4,10,3,4,1,0,0,40,33,0
26,7,130557,15,4,9,1,4,0,0,0,35,33,0
35,6,199753,7,2,13,0,4,1,0,0,60,33,0
